Year,Continent,Population
2000,Africa,818946032
2000,Asia,3735089604
2000,Europe,726093423
2000,North America,486069584
2000,Oceania,31222778
2000,South America,349634282
2010,Africa,1360671810
2010,Asia,4663086535
2010,Europe,745792196
2010,North America,594236593
2010,Oceania,43933426
2010,South America,431530043
2015,Africa,1201102442
2015,Asia,4458250182
2015,Europe,741535608
2015,North America,570383850
2015,Oceania,40403283
2015,South America,413134396
2020,Africa,1360671810
2020,Asia,4663086535
2020,Europe,745792196
2020,North America,594236593
2020,Oceania,43933426
2020,South America,431530043
2022,Africa,1426730932
2022,Asia,4721383274
2022,Europe,743147538
2022,North America,600296136
2022,Oceania,45038554
2022,South America,436816608